Alpha,BER,Accuracy,PSNR,SSIM,LPIPS,Energy,Corr
0.02,0.49758350605867346,0.5024164939413265,86.01990509033203,1.0,5.763488575283304e-10,13000.1982421875,-0.0012355523649603128
0.05,0.49758350605867346,0.5024164939413265,86.01626586914062,1.0,3.5737846015848618e-09,13001.017578125,-0.0012355156941339374
0.08,0.49758350605867346,0.5024164939413265,86.00957489013672,1.0,9.111148280283032e-09,13003.0771484375,-0.0012354739010334015
0.1,0.49758350605867346,0.5024164939413265,86.00338745117188,1.0,1.4217919286352299e-08,13005.1416015625,-0.0012354477075859904
0.15,0.49758350605867346,0.5024164939413265,85.98213958740234,1.0,3.183369656767354e-08,13012.712890625,-0.0012353904312476516
0.2,0.49757852359693877,0.5024214764030612,85.95265197753906,1.0,5.646396061820269e-08,13023.732421875,-0.0012353331549093127
0.25,0.49757852359693877,0.5024214764030612,85.91519165039062,1.0,8.810473417497633e-08,13038.201171875,-0.001235277159139514
0.3,0.49757852359693877,0.5024214764030612,85.87005615234375,1.0,1.267475653321526e-07,13056.1171875,-0.0012352147605270147
